Timestamp,station,distination,frequency,time_slot,wait_time,case    ,worst_day,use_bus,why_taxi_over_bus,worst_time_place,solution
06/06/2026 18:18:26,قمعون أكودة,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,15-30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الأحد,نادراً,الحافلة لا تأتي في وقتها,Akouda,
06/06/2026 18:27:02,مفترق بانوراما,مفترق موبلاتكس حمام سوسة,مرة أو مرتين,الضحى 09:00–11:00,5-15 min,يمر تاكسي جماعي ممتلئ,الأحد,نعم أحياناً,الحافلة لا تأتي في وقتها,بانوراما,
06/06/2026 18:30:13,قمعون أكودة,باب بحر,مرة أو مرتين,الضحى 09:00–11:00,15-30 min,يمر تاكسي جماعي ممتلئ,الأحد,نادراً,التاكسي الجماعي أسرع,في العشية وقت مرواح الخدامة,إنشاء محطة بأكودة 
06/06/2026 18:36:21,محطة مستشفى فرحات حشاد,محطة مستشفى فرحات حشاد,3 الى 5 مرات,بعد الظهر 16:00–18:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نعم أحياناً,الحافلة لا تأتي في وقتها,باب بحر على الساعة الخامسة مساء,تكثيف دوريات شرطة المرور ، تسهيل الإجراءات لتقديم شكاوي و بلاغات في حال تجاوزات
06/06/2026 18:40:24,معهد علي بورقيبة القلعة الكبرى,خزامة,كل يوم,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,السبت,لا  أبداً,,رومبوان الرزڨي,محطة تاكسي خاصة
06/06/2026 18:41:42,المراح القلعة الكبرى,باب بحر,3 الى 5 مرات,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نعم أحياناً,الحافلة لا تأتي في وقتها,8,
06/06/2026 18:42:23,المراح القلعة الكبرى,مفترق حنبعل أكودة,3 الى 5 مرات,بعد الظهر 16:00–18:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,لا  أبداً,,الصباح الباكر,تغيير اوقات العمل
06/06/2026 18:44:14,(la poste) البريد  القلعة الكبرى,معهد علي بورقيبة القلعة الكبرى,كل يوم,الصباح 07:00–09:00,less than 5 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول",الاثنين,لا  أبداً,,أمام معهم علي بورڨيبة,تكثيف سيارات الأجرة
06/06/2026 18:45:19,(la poste) البريد  القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,لا  أبداً,,المنشية 17:00,توفير عدد اكبر من الحافلات و من التاكسي الجماعي
06/06/2026 18:45:30,(la poste) البريد  القلعة الكبرى,باب بحر,كل يوم,الضحى 09:00–11:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الخميس,نادراً,التاكسي الجماعي متوفر أكثر,في الصباح الباكر و في محطة المراح,توفير تكسيات مخصصة للطلبة و التلاميذ لأن أكثر مشاكل الإزدحام و عدم توقف أو توفر التاكسي هو أن السائق لا يتوقف لتلميذ أو شخص يعرف أنه سيركب لمدة قصيرة و هذه من أكبر المشاكل التي يتعرض لها أشخاص مثلي من ناحيتي الخاصة
